sample_date,sampler_name,project_type,broad_location,total_Cl2_mg.L,free_Cl2_mg.L,site,water_age_h
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_21,192.61
3/7/18,DWDS_F,Full_Scale,DWDS_F,1.82,NA,site_20,163.92
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31
3/12/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_13,64.36
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_1,19.35
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.3,NA,site_7,34.69
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.16,NA,site_11,52.5
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_8,34.97
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.63,NA,site_14,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.29,NA,site_9,50.07
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_12,56.88
4/17/18,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_15,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.1,NA,site_10,50.61
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_17,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_13,64.36
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.74,NA,site_19,131.08
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_5,28.98
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.75,NA,site_18,78.9
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.54,NA,site_22,206.3
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_23,234.39
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.15,NA,site_24,289.38
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.67,NA,site_21,192.61
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.7,NA,site_20,163.92
3/14/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
3/19/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_24,289.38
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_1,19.35
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.24,NA,site_7,34.69
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
3/20/18,DWDS_F,Full_Scale,DWDS_F,1.95,NA,site_11,52.5
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_8,34.97
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.21,NA,site_14,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.26,NA,site_9,50.07
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.16,NA,site_12,56.88
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.57,NA,site_15,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_10,50.61
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.23,NA,site_17,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.61,NA,site_13,64.36
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.99,NA,site_19,131.08
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_5,28.98
3/21/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.54,NA,site_22,206.3
3/21/18,DWDS_F,Full_Scale,DWDS_F,0.2,NA,site_23,234.39
3/21/18,DWDS_F,Full_Scale,DWDS_F,0.25,NA,site_24,289.38
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.38,NA,site_21,192.61
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_20,163.92
3/21/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.13,NA,site_1,19.35
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.35,NA,site_7,34.69
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_6,34.06
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_11,52.5
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_8,34.97
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.39,NA,site_14,70
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.34,NA,site_9,50.07
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_12,56.88
2/20/18,DWDS_F,Full_Scale,DWDS_F,2,NA,site_15,70
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.1,NA,site_10,50.61
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.34,NA,site_17,70
