,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
123,SG_123,7/27/16,DWDS_A,2016,site_A4,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,62238.4328,1.06022363,0.849986118,2.17E-05,NA,NA,NA,NA,NA,NA,2,1,NA,8.68,NA,0.64,0.41,NA,NA
124,SG_124,7/27/16,DWDS_A,2016,site_A3,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,59171.345,1.16944415,0.995089444,2.67E-05,NA,NA,NA,NA,NA,NA,5.3,1,NA,8.65,NA,0.64,0.53,NA,NA
125,SG_125,7/27/16,DWDS_A,2016,site_A5,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,BDL,24789.1462,1.03847971,0.897327371,5.54E-05,NA,NA,NA,NA,NA,NA,0.5,1,BDL,8.74,NA,0.65,0.5,NA,NA
126,SG_126,7/27/16,DWDS_A,2016,site_A8,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,94596.1839,1.01241601,0.880043924,1.45E-05,NA,NA,NA,NA,NA,NA,2,1,NA,8.69,NA,0.41,0.3,NA,NA
127,SG_127,7/27/16,DWDS_A,2016,site_A10,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,BDL,74745.9168,1.02610651,0.915609552,1.87E-05,NA,NA,NA,NA,NA,NA,0.5,1,BDL,8.61,25.6,0.39,0.2,NA,NA
128,SG_128,7/27/16,DWDS_A,2016,site_A6,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,158474.485,1.02040156,0.995634729,9.17E-06,NA,NA,NA,NA,NA,NA,1,1,NA,8.61,NA,0.29,0.16,NA,NA
129,SG_129,7/27/16,DWDS_A,2016,site_A7,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,18318.5367,1.02933124,0.756962793,7.24E-05,NA,NA,NA,NA,NA,NA,3.1,1,NA,8.72,NA,0.24,0.1,NA,NA
130,SG_130,7/27/16,DWDS_A,2016,site_A9,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,NA,NA,6916.42211,1.12876633,0.480047138,0.000173201,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,0.98,0.83,NA,NA
131,SG_131,8/22/17,DWDS_F,2017,site_11,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,8984.33504,1.02258483,0.258977339,0.000119425,0.000196008,1.619255075,0.002848919,1.165327614,0.002652912,1.124276902,17.30433472,1.201257829,NA,8.07,25.1,1.57,0.1,52.5,NA
132,SG_132,8/22/17,DWDS_F,2017,site_8,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,ADL,18754.7865,1.03899111,0.274712365,5.80E-05,0.002160583,1.785085082,0.005915633,1.424821682,0.00375505,1.075365949,2694.22624,1.164139938,ADL,8.02,25.2,1.13,0.1,34.97,NA
133,SG_133,8/22/17,DWDS_F,2017,site_14,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,BDL,216377.939,1.02272177,0.016119934,4.83E-06,1.00E-05,1,0.014576327,1.132285502,0.015658624,1.05252732,0.5,1,BDL,8.11,27.3,2.7,0.13,12.36,12.36
134,SG_134,8/22/17,DWDS_F,2017,site_12,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,6792.02022,1.08889387,0.22390964,0.000306935,0.000613214,1.724741202,0.002501055,1.352619323,0.001887841,1.070118303,6.773477689,1.133271864,NA,8.02,25.2,1.78,0.11,56.88,NA
135,SG_135,8/22/17,DWDS_F,2017,site_15,site_15,Chloramine,No,Accuri,NA,NA,BDL,296814.627,1.0138563,0.003946477,3.98E-06,0.002111866,1.565355089,0.022169815,1.091889791,0.020057949,1.121656471,0.5,1,BDL,8.14,24.8,2.9,0.15,9.43,9.43
136,SG_136,8/22/17,DWDS_F,2017,site_13,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,82416.1124,1.04094098,0.489422521,1.39E-05,0.009485242,1.523521948,0.013007627,1.070917976,0.003522385,1.083629925,24.71639132,1.302801551,NA,8.01,25.8,1.14,0.07,64.36,NA
137,SG_137,8/22/17,DWDS_F,2017,site_6,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,BDL,11505.4225,1.00936186,0.088892014,0.000113273,0.00060656,1.765369481,0.003750699,1.375592025,0.003144139,1.106470057,0.5,1,BDL,8.09,24.9,1.79,0.11,34.06,NA
138,SG_138,8/22/17,DWDS_F,2017,site_1,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,8335.85495,1.01425933,0.195402521,0.000134602,0.000235144,1.744790485,0.001766521,1.341022448,0.001531377,1.116222483,163.5120179,1.653122977,NA,8.05,24.2,1.7,0.1,19.35,NA
139,SG_139,8/22/17,DWDS_F,2017,site_7,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,ADL,139989.041,1.01834395,0.460571323,8.29E-06,0.005244449,1.692262925,0.01204449,1.070188317,0.006800041,1.310896935,2999.9,1,ADL,7.91,26,0.16,0,34.69,NA
140,SG_140,8/22/17,DWDS_F,2017,site_16,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,253031.768,1.074908,0.006026714,4.41E-06,0.002200135,1.540848173,0.015987131,1.042425632,0.013786996,1.134707845,1,1,NA,8.08,28.8,2.5,0.13,11.67,11.67
141,SG_141,8/23/17,DWDS_F,2017,site_2,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,6490.15669,1.01905098,0.196184096,0.000175375,1.00E-05,1,0.000493739,1.066667249,0.000530756,1.027684355,5.037057996,2.453623378,NA,8.09,25.3,2.5,0.11,20.87,NA
142,SG_142,8/23/17,DWDS_F,2017,site_22,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,145459.736,1.02086846,0.917434293,9.45E-06,0.02792876,1.431084322,0.029671023,1.019695803,0.001742263,1.004102986,254.3949447,1.50815988,NA,7.8,26.8,0.16,0,206.3,NA
143,SG_143,8/23/17,DWDS_F,2017,site_21,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,133709.037,1.02791841,0.83013825,9.93E-06,0.028519239,1.440303447,0.031165794,1.011463246,0.002646555,1.02538584,1052.989082,1.188493719,NA,7.67,26.2,0.43,0,192.61,NA
144,SG_144,8/23/17,DWDS_F,2017,site_20,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,14515.393,1.04464902,0.676643212,8.50E-05,0.001540281,1.502542416,0.002340314,1.053899324,0.000800034,1.070948145,138.6295621,3.727430629,NA,7.78,27.7,1.25,0.05,163.92,NA
145,SG_145,8/23/17,DWDS_F,2017,site_3,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,4994.07048,1.08991129,0.211419864,0.000240452,0.028446034,1.429840566,0.029891223,1.00991547,0.001445189,1.012183178,3.419951893,1.612544805,NA,8.03,23.8,1.88,0.1,23.31,NA
146,SG_146,8/23/17,DWDS_F,2017,site_19,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,31837.6854,1.01688747,0.652315372,3.80E-05,0.006075906,1.50152015,0.007216506,1.044186789,0.001140601,1.078998013,30.14753548,1.270293583,NA,7.97,25.5,1.63,0.07,131.08,NA
147,SG_147,8/23/17,DWDS_F,2017,site_5,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,135659.209,1.01591885,0.806537653,9.58E-06,0.028446034,1.429840566,0.029891223,1.00991547,0.001445189,1.012183178,2419.699,1,NA,7.79,27,0.4,0.02,28.98,NA
148,SG_148,8/23/17,DWDS_F,2017,site_18,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,5406.21135,1.03999878,0.610818395,0.000236524,0.000135391,1.453145848,0.000765117,1.034745666,0.000629726,1.020261861,2.016529675,2.024918588,NA,8.06,25.5,1.7,0.09,78.9,NA
149,SG_149,8/23/17,DWDS_F,2017,site_23,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,126798.863,1.01822596,0.828059689,1.05E-05,0.025076144,1.491653197,0.02753228,1.008293263,0.002456137,1.099260641,484.7800365,2.46208177,NA,7.69,26.6,0.36,0,234.39,NA
150,SG_150,8/23/17,DWDS_F,2017,site_24,site_24,Chloramine,No,Accuri,NA,NA,NA,69320.2465,1.00434218,0.756979168,1.84E-05,0.008205835,1.528768881,0.010090819,1.031831524,0.001884985,1.1280328,309.1601502,1.40496546,NA,7.75,26.2,0.39,0,289.38,NA
151,SG_151,10/23/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,250758.442,1.04609562,0.608509679,4.91E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
152,SG_152,11/2/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,25093.5011,1.01808233,0.323325233,4.36E-05,3.97E-05,1.438982727,0.000470429,1.007037654,0.0004307,1.027884454,NA,NA,NA,NA,NA,2.05,0.05,24,NA
153,SG_153,11/6/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,21729.7093,1.04686683,0.289936638,5.23E-05,0.000166846,1.459146262,0.000337591,1.029606516,0.000170745,1.03393338,NA,NA,NA,NA,NA,2.12,0.12,24,NA
154,SG_154,11/13/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,60520.3372,1.0124331,0.449464626,1.82E-05,0.000315202,1.449838554,0.000899866,1.012232818,0.000584664,1.03798678,NA,NA,NA,NA,NA,1.3,0.04,24,NA
155,SG_155,11/16/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,122844.343,1.2046931,0.255481183,9.29E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
156,SG_156,11/20/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,268930.721,1.00633102,0.487333985,4.40E-06,0.00264357,1.464019806,0.003418006,1.037047606,0.000774436,1.033385821,NA,NA,NA,NA,NA,2.3,NA,24,NA
157,SG_157,11/27/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,340327.047,1.0060002,0.327292506,3.10E-06,0.001590294,1.443620562,0.002606746,1.030122003,0.001016452,1.011379744,NA,NA,NA,NA,NA,0,0,24,NA
158,SG_158,12/4/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,22952.9641,1.08238223,0.163835243,4.73E-05,1.00E-05,1,0.000558923,1.020480971,0.000554793,1.016743753,NA,NA,NA,NA,NA,0.71,0.17,24,NA
159,SG_159,12/7/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,622548.935,1.02402582,0.078039649,1.64E-06,0.001559646,1.477293725,0.002705665,1.041473672,0.001146018,1.047725795,NA,NA,NA,NA,NA,NA,NA,24,NA
160,SG_160,12/11/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,76,NA,NA,9447.42225,1.10781417,0.459882882,0.000121472,0.000931613,1.535269962,0.002856205,1.062264423,0.001924593,1.108444023,3.224903099,1.965307305,NA,NA,NA,2.5,0.03,24,NA
161,SG_161,12/14/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,23912.5987,1.11245634,0.094827583,4.53E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.12,24,NA
162,SG_162,12/18/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,22607.9261,1.0782092,0.144131469,4.98E-05,5.09E-05,1.497610247,0.000327062,1.111415456,0.00027616,1.00378889,NA,NA,NA,NA,NA,2.3,0.05,24,NA
163,SG_163,12/29/17,DWDS_F,2017,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,4808.96205,1.07114233,0.331601544,0.000271836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.05,24,NA
164,SG_164,1/1/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,78,NA,NA,3220.55151,1.04082935,0.407847416,0.000413512,1.00E-05,1,0.001479745,1.015435025,0.001556297,1.010346821,1,1,NA,NA,NA,2.4,0.05,24,NA
165,SG_165,1/5/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,80,NA,NA,2558.83627,1.1060234,0.191875636,0.000494978,NA,NA,NA,NA,NA,NA,38.23087757,1.200333732,NA,NA,NA,2.7,0.06,24,NA
166,SG_166,1/8/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,82,NA,NA,5361.08054,1.52595196,0.424254346,0.000250763,9.82E-05,1.475191483,0.000520981,1.049287893,0.000422776,1.036911196,1,1,NA,8.1,18.3,1.5,0,24,NA
167,SG_167,1/12/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,3401.28408,1.07345818,0.152794881,0.00041578,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94,17.7,1.4,0.05,24,NA
168,SG_168,1/15/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,8102.96094,1.03129534,0.704243797,0.000161091,0.000259613,1.500782127,0.000774731,1.072584684,0.000515118,1.049718576,89.70457068,1.271317352,NA,7.96,16.6,1.8,0,24,NA
169,SG_169,1/29/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,4200.7194,1.00317958,0.477361235,0.000280495,5.87E-05,1.458654706,0.000567637,1.030447153,0.000508889,1.032401189,NA,NA,NA,8.11,15.2,2.2,0.26,24,NA
170,SG_170,1/31/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,2683.81032,1.12760549,0.537085482,0.000481094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
171,SG_171,2/4/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Accuri,NA,NA,NA,11421.2402,1.02695088,0.348967449,9.58E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
172,SG_172,2/7/18,DWDS_F,2018,site_2,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,3667.85397,1.11282768,0.401851672,0.000349004,1.00E-05,1,0.000321433,1.140610487,0.000353548,1.175731143,30.46965704,1.585014629,NA,7.9,16,2.6,0,20.87,NA
173,SG_173,2/7/18,DWDS_F,2018,site_22,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,BDL,2718.89963,1.14076566,0.18046573,0.00046397,1.00E-05,1,0.00024846,1.052904823,0.000277773,1.098820255,0.5,1,BDL,8,17.6,2.4,0,206.3,NA
174,SG_174,2/7/18,DWDS_F,2018,site_21,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,BDL,4631.94066,1.02673543,0.159296562,0.000224704,1.00E-05,1,0.000460222,1.365690395,0.000620352,1.02227222,0.5,1,BDL,8,17.3,2.2,0,192.61,NA
175,SG_175,2/7/18,DWDS_F,2018,site_20,other_site_in_DWDS_F,Chloramine,No,Accuri,1,NA,BDL,1339.83347,1.06285828,0.306403182,0.000982725,1.00E-05,1,0.000342021,1.145246524,0.000351025,1.086721069,0.5,1,BDL,8.03,19.1,2.4,0,163.92,NA
176,SG_176,2/7/18,DWDS_F,2018,site_3,other_site_in_DWDS_F,Chloramine,No,Accuri,NA,NA,NA,3790.3546,1.04787093,0.241602033,0.000289531,1.00E-05,1,0.000520456,1.235574405,0.000549465,1.018089763,1.760681686,2.225590125,NA,7.86,18.1,2.4,0,23.31,NA
177,SG_177,2/7/18,DWDS_F,2018,site_19,other_site_in_DWDS_F,Chloramine,No,Accuri,2,NA,NA,1183.52135,1.14192573,0.273212545,0.001020579,1.00E-05,1,0.000337869,1.101817288,0.000397579,1.17120989,11.14046678,2.23927135,NA,7.91,16.7,2.5,0,131.08,NA
178,SG_178,2/7/18,DWDS_F,2018,site_5,other_site_in_DWDS_F,Chloramine,No,Accuri,3,NA,NA,2185.9951,1.04217219,0.353585283,0.000738339,2.79E-05,1.720341188,0.000409019,1.280599703,0.000381114,1.148755067,1416.877595,2.131469545,NA,7.89,17.8,2.2,0,28.98,NA
179,SG_179,2/7/18,DWDS_F,2018,site_18,other_site_in_DWDS_F,Chloramine,No,Accuri,4,NA,BDL,529.997277,1.72742137,0.223308579,0.002348875,9.55E-05,1.953951898,0.000355491,1.659587003,0.000260025,1.031357843,0.5,1,BDL,7.94,18.9,2.6,0,78.9,NA
180,SG_180,2/7/18,DWDS_F,2018,site_23,other_site_in_DWDS_F,Chloramine,No,Accuri,5,NA,BDL,6332.12749,1.02396414,0.142866241,0.000185791,1.00E-05,1,0.000618412,1.076161001,0.000751709,1.070410754,0.5,1,BDL,8.01,16.9,2.1,0,234.39,NA
181,SG_181,2/7/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Accuri,6,NA,NA,6002.68732,1.06923922,0.177776458,0.000189531,7.02E-05,1.518585388,0.000354213,1.119492846,0.000284018,1.026078628,3.224903099,1.965307305,NA,7.98,18.3,2,0,289.38,NA
182,SG_182,8/1/18,DWDS_B,2018,site_B1,other_site_in_DWDS_B,Chlorine,No,Accuri,84,NA,NA,1460.89592,1.0954413,0.342266656,0.001056124,0.000111591,1.439076966,0.003079871,1.02857184,0.00296828,1.006470309,7.823042886,1.45529821,NA,8.16,23,0.92,0.8,NA,NA
183,SG_183,8/1/18,DWDS_B,2018,site_B2,other_site_in_DWDS_B,Chlorine,No,Accuri,85,NA,NA,117165.002,1.02145532,0.800785937,1.12E-05,0.012610512,1.465016885,0.01470909,1.003885756,0.002098577,1.066999466,3.388214869,1.309529072,NA,8.11,24,0.36,0.23,NA,NA
184,SG_184,8/1/18,DWDS_B,2018,site_B3,other_site_in_DWDS_B,Chlorine,No,Accuri,86,NA,NA,12452.6512,1.07308622,0.575414946,9.98E-05,0.001468006,1.443115252,0.003968273,1.026034284,0.002500268,1.014808,2.449489743,1.33203404,NA,8.17,23,0.72,0.64,NA,NA
185,SG_185,8/1/18,DWDS_B,2018,site_B4,other_site_in_DWDS_B,Chlorine,No,Accuri,87,NA,BDL,1192.69007,1.24924239,0.245543506,0.00142282,0.000217819,1.447827237,0.005676307,1.005392437,0.005458488,1.041820405,0.5,1,BDL,7.99,21,1.2,1.03,NA,NA
186,SG_186,8/1/18,DWDS_B,2018,site_B5,other_site_in_DWDS_B,Chlorine,No,Accuri,88,NA,NA,1743.03799,1.12737984,0.421355067,0.000803849,0.000201166,1.454990625,0.003821767,1.013979042,0.003620601,1.043476986,2.024845673,2.712087022,NA,8.13,22,0.95,1,NA,NA
187,SG_187,8/1/18,DWDS_B,2018,site_B6,other_site_in_DWDS_B,Chlorine,No,Accuri,89,NA,NA,1833.9878,1.0807856,0.52640483,0.000642578,1.00E-05,1,0.003129411,1.032833584,0.003166884,1.112991072,1,1,NA,8.25,23,0.9,0.68,NA,NA
188,SG_188,8/1/18,DWDS_B,2018,site_B7,other_site_in_DWDS_B,Chlorine,No,Accuri,90,NA,NA,26033.4896,1.03481442,0.616891352,4.60E-05,0.007705888,1.479720422,0.009095952,1.016844816,0.001390064,1.074987975,94.1856677,1.642959923,NA,7.77,21,0.55,0.35,NA,NA
189,SG_189,8/1/18,DWDS_B,2018,site_B8,other_site_in_DWDS_B,Chlorine,No,Accuri,91,NA,NA,3212.97969,1.05754341,0.158529434,0.00077395,0.00010182,1.462703359,0.006390533,1.057365673,0.006288713,1.010682418,2,1,NA,8.19,20,1.22,1.09,NA,NA
190,SG_190,8/1/18,DWDS_B,2018,site_B9,other_site_in_DWDS_B,Chlorine,No,Accuri,92,NA,NA,1274.46736,1.10072374,0.306238315,0.001234174,0.000225848,1.47909583,0.003902242,1.071391578,0.003676394,1.019727689,2.024845673,2.712087022,NA,8.13,22,0.95,0.47,NA,NA
191,SG_191,8/1/18,DWDS_B,2018,site_B10,other_site_in_DWDS_B,Chlorine,No,Accuri,93,NA,NA,8947.60714,1.02384711,0.610770215,0.000152252,0.001513981,1.563548455,0.004128144,1.190524195,0.002614163,1.013575804,229.808616,1.256004955,NA,8.13,24,0.85,0.62,NA,NA
192,SG_192,8/8/18,DWDS_A,2018,site_A1,other_site_in_DWDS_A,Chlorine,No,Accuri,96,NA,NA,15768.8342,1.02201542,0.936240353,8.88E-05,0.001837574,1.4309215,0.007067473,1.01552791,0.005229899,1.008087002,5.433231083,1.489093615,NA,8.28,22,0.7,0.57,NA,NA
193,SG_193,8/8/18,DWDS_A,2018,site_A11,other_site_in_DWDS_A,Chlorine,No,Accuri,97,NA,NA,8141.83361,1.05990005,0.475952177,0.000164019,0.002501577,1.614308185,0.010751044,1.12146113,0.008249468,1.161170035,3.54964787,2.250913323,NA,8.37,25,0.8,0.62,NA,NA
194,SG_194,8/8/18,DWDS_A,2018,site_A2,other_site_in_DWDS_A,Chlorine,No,Accuri,98,NA,NA,6515.46457,1.17968065,0.460835539,0.000179167,1.00E-05,1,0.012851315,1.02706451,0.013133412,1.009400942,3.049590136,1.023456789,NA,8.28,21.6,1.18,1.03,NA,NA
195,SG_195,8/8/18,DWDS_A,2018,site_A4,other_site_in_DWDS_A,Chlorine,No,Accuri,99,NA,NA,23619.9312,1.0533153,0.710452116,5.50E-05,0.002163483,1.474115429,0.010824668,1.035205993,0.008661185,1.049459313,1,1,NA,8.36,23.7,0.67,0.52,NA,NA
196,SG_196,8/8/18,DWDS_A,2018,site_A3,other_site_in_DWDS_A,Chlorine,No,Accuri,100,NA,BDL,41406.4745,1.01240429,0.8779301,3.29E-05,0.00370383,1.441326513,0.015155057,1.027244218,0.011451227,1.011034833,0.5,1,BDL,8.26,23.8,0.77,0.64,NA,NA
197,SG_197,8/8/18,DWDS_A,2018,site_A5,other_site_in_DWDS_A,Chlorine,No,Accuri,101,NA,BDL,13025.708,1.02101323,0.810636742,0.000103917,0.001527416,1.461562195,0.011265361,1.035614094,0.009737945,1.03134257,0.5,1,BDL,8.09,22.9,0.89,0.73,NA,NA
198,SG_198,8/8/18,DWDS_A,2018,site_A8,other_site_in_DWDS_A,Chlorine,No,Accuri,102,NA,NA,14982.9918,1.04424096,0.703639977,9.71E-05,0.000685785,1.486205356,0.005901907,1.021255527,0.005216123,1.079742334,1,1,NA,8.3,22.9,0.73,0.64,NA,NA
199,SG_199,8/8/18,DWDS_A,2018,site_A10,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,NA,BDL,20697.0703,1.01113752,0.68394865,6.13E-05,0.003203049,1.446489629,0.008249141,1.03019954,0.005046091,1.015392118,0.5,1,BDL,8.32,24.2,0.65,0.51,NA,NA
200,SG_200,8/8/18,DWDS_A,2018,site_A6,other_site_in_DWDS_A,Chlorine,No,Accuri,103,NA,NA,94635.8663,1.02411,0.910354138,1.47E-05,0.009303907,1.524615626,0.01541837,1.045192788,0.006114463,1.109966145,1.760681686,2.225590125,NA,8.24,20.9,0.51,0.37,NA,NA
201,SG_201,8/8/18,DWDS_A,2018,site_A7,other_site_in_DWDS_A,Chlorine,No,Accuri,104,NA,NA,20833.8204,1.01980437,0.87750492,6.46E-05,0.004781616,1.508598204,0.008862024,1.083020133,0.004080409,1.050207566,4.01497198,1.441602856,NA,8.44,25.6,0.39,0.26,NA,NA
202,SG_202,8/8/18,DWDS_A,2018,site_A9,other_site_in_DWDS_A,Chlorine,No,Accuri,105,NA,NA,24862.5423,1.02550576,0.887257949,5.57E-05,0.003370977,1.451510428,0.013722566,1.035554833,0.010351589,1.017108013,4.617358552,1.183006686,NA,8.24,22.7,0.86,0.73,NA,NA
203,SG_203,2/1/18,DWDS_F,2018,site_ut,site_ut,chloramine,No,Accuri,NA,NA,NA,NA,NA,NA,NA,0.000110927,1.514886259,0.000976888,1.078968526,0.000865962,1.063347215,NA,NA,NA,8.25,15.3,2.5,0.05,24,NA
204,SG_204,2/5/18,DWDS_F,2018,site_ut,site_ut,chloramine,No,Accuri,NA,NA,NA,NA,NA,NA,NA,1.00E-05,1,0.001416235,1.180441746,0.002017192,1.022727795,NA,NA,NA,8.19,15,2.6,0.07,24,NA
