,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
11,SG_11,2/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,2341.19783,1.47012954,0.13000471,0.000659474,1.00E-05,1,0.000203521,1.160284794,0.000327505,1.529026838,NA,NA,NA,8.1,15.5,2.49,0.04,24,NA
12,SG_12,3/1/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,22,NA,NA,24340.4792,1.15417732,0.880199437,5.94E-05,0.005260257,1.563781443,0.008380612,1.085653752,0.003120354,1.125508033,42.72867889,1.045687151,NA,8.015,20.4,0.91,0.11,70,9.43
13,SG_13,3/1/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,23,NA,ADL,1612.26319,1.03490344,0.651943756,0.000795195,6.86E-05,2.033297962,0.000793229,1.562858685,0.000724606,1.300681872,2694.171123,1.164173618,ADL,8.196,23.9,2.07,0.163333333,50.61,NA
14,SG_14,3/1/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,24,NA,NA,20318.9153,1.04716827,0.755064401,6.35E-05,0.001661663,1.597295176,0.002959001,1.241377421,0.001297338,1.005153709,67.76016529,1.519807402,NA,8.094,15.6,1.16,0.116666667,289.38,NA
17,SG_17,3/1/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,26,NA,NA,12147.8882,1.08073545,0.276819173,0.000106242,1.00E-05,1,0.000622835,1.189033249,0.001127593,1.133431251,360.8434564,1.22281943,NA,8.07,14.8,2.2,0.07,24,NA
18,SG_18,3/5/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,30,NA,NA,929.938635,1.26376504,0.472044918,0.001707957,1.00E-05,1,0.000198102,1.397964452,0.00049271,1.835079448,NA,NA,NA,8.17,17.8,2,0.08,24,NA
21,SG_21,3/12/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,4467.59755,1.11000626,0.459581506,0.000315898,1.00E-05,1,0.000435047,1.089050243,0.000417682,1.107420386,NA,NA,NA,8.14,18.5,2.38,0.04,24,NA
22,SG_22,3/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,23466.1745,1.49334628,0.08160935,6.60E-05,1.00E-05,1,0.000340902,1.168123059,0.000403887,1.333261435,NA,NA,NA,8.02,14.3,2.52,0.04,24,NA
23,SG_23,3/22/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,33,NA,NA,73447.8765,1.02447216,0.807469213,1.78E-05,0.011149539,1.443526028,0.016062152,1.014696332,0.004912614,1.026722333,59.71959477,1.07613708,NA,7.86,18.2,0.235,0.07,70,9.43
24,SG_24,3/22/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,34,NA,NA,2076.70202,1.43002245,0.464752496,0.000672193,1.00E-05,1,0.000696455,1.023784573,0.000749921,1.029783891,34.74910071,1.010226309,NA,8.07,18.1,1.95,0.5,50.61,NA
