,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
24,SGPI_24,3/22/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,965.152448,1.22758174,0.464752496,0.000672193,1.00E-05,1,0.000696455,1.023784573,0.000749921,1.029783891,34.74910071,1.010226309,NA,8.07,18.1,1.95,0.5,50.61,NA
25,SGPI_25,3/22/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,4097.19329,1.09099488,0.71411454,0.000236081,0.000170489,1.49362358,0.000434769,1.064722839,0.00026428,1.04750975,2419.6,1,NA,7.93,17.1,0.53,0.05,289.38,NA
28,SGPI_28,3/22/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,498.748296,1.37029686,0.393056314,0.001139062,1.00E-05,1,0.000265704,1.092110248,0.000309522,1.00955305,23.29463458,1.030817926,NA,8.01,16.6,2,0.04,24,NA
31,SGPI_31,3/26/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,342.792401,1.11100321,0.304340114,0.001038731,1.89E-05,1.486401608,0.000211027,1.036094,0.0001921,1.065785609,6.30634601,1.838439592,NA,7.84,13.7,0.03,0.01,24,NA
32,SGPI_32,3/27/18,DWDS_F,2018,site_11,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,2139.40418,1.02321513,0.603142095,0.000337784,4.44E-05,1.825356991,0.000614834,1.484870146,0.000570483,1.061644381,NA,NA,NA,8.08,15.2,1.87,0.08,52.5,NA
33,SGPI_33,3/27/18,DWDS_F,2018,site_8,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,1553.84373,1.19093204,0.712804322,0.000709662,0.000234169,1.458918122,0.000847893,1.0460794,0.000613724,1.016936564,5.470831747,1.503688327,NA,8.04,15.4,1.87,0.23,34.97,NA
34,SGPI_34,3/27/18,DWDS_F,2018,site_14,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,36057.5019,1.0391668,0.762600697,2.78E-05,0.003072077,1.475529987,0.005756161,1.048106413,0.002684084,1.03858639,1.414213562,1.632526919,NA,8.07,18.8,0.46,0.02,70,12.36
35,SGPI_35,3/27/18,DWDS_F,2018,site_12,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,2074.21097,1.03976109,0.88122163,0.000588163,1.00E-05,1,0.001041276,1.028909259,0.001176664,1.044058188,NA,NA,NA,7.81,16.3,1.11,0.01,56.88,NA
36,SGPI_36,3/27/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,47473.5009,1.02587166,0.862781359,2.46E-05,0.005742452,1.514621801,0.012538735,1.128851086,0.006796282,1.009838812,40.20373117,1.262214642,NA,7.94,19.3,0.39,0,70,9.43
37,SGPI_37,3/27/18,DWDS_F,2018,site_17,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,39856.0943,1.03389311,0.800436956,2.68E-05,0.001613626,1.457410651,0.00287185,1.018939883,0.001258225,1.042020787,NA,NA,NA,8.03,19.4,1.05,0.01,70,8.92
38,SGPI_38,3/27/18,DWDS_F,2018,site_6,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,380.255412,1.26695759,1.087380374,0.005815993,1.00E-05,1,0.000218716,1.050041216,0.000282943,1.060110071,NA,NA,NA,8.19,15.8,1.66,0.26,34.06,NA
39,SGPI_39,3/27/18,DWDS_F,2018,site_7,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,53769.0145,1.03011903,0.710498278,1.67E-05,0.002236403,1.45533344,0.005578832,1.04153796,0.003342429,1.016461558,NA,NA,NA,7.96,18.4,0.64,0,34.69,NA
40,SGPI_40,3/27/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,2171.19789,1.13414797,0.792627535,0.000514572,8.15E-05,1.47093168,0.000719612,1.071996649,0.000638111,1.007205635,1,1,NA,8.02,15.6,1.88,0.03,50.61,NA
41,SGPI_41,3/27/18,DWDS_F,2018,site_16,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,14364.2112,1.01691483,0.834209216,7.75E-05,0.000978063,1.468953714,0.00217856,1.029341745,0.001200497,1.047988829,35.28101472,1.123123753,NA,8.05,20.6,1.02,0.05,70,11.67
42,SGPI_42,3/28/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,13733.6876,1.04323796,0.162789744,1.27E-05,0.002009015,1.479101436,0.005246567,1.011233871,0.003237553,1.079419804,64.06652792,1.769100169,NA,7.84,24,1.11,0.04,70,9.43
43,SGPI_43,3/28/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,1349.56107,1.11372509,0.019450603,1.61E-05,1.00E-05,1,0.001085489,1.011050919,0.001079915,1.00738377,7.531932023,1.347438054,NA,7.91,22.3,1.61,0.15,50.61,NA
44,SGPI_44,3/28/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,8816.46166,1.06457923,0.092802685,1.13E-05,0.000932548,1.460409673,0.001499086,1.038121189,0.000566538,1.027181001,50.79842517,1.011198003,NA,8.17,24.4,0.78,0.11,289.38,NA
47,SGPI_47,3/28/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,exclude,NA,598.413979,1.14744319,0.018069426,3.47E-05,3.69E-05,1.559431904,0.000312552,1.176394165,0.000275648,1.0236819,25.6,1,NA,8.14,16.8,2.18,0.05,24,NA
48,SGPI_48,4/2/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,639.081415,1.54986128,0.105126718,0.000255653,1.00E-05,1,0.00150972,1.050825156,0.001491954,1.043515678,NA,NA,NA,8.05,17.6,2.2,0.11,24,NA
51,SGPI_51,4/9/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,1490.9484,1.08897587,0.253835613,0.000193211,1.00E-05,1,0.001900782,1.062042169,0.001966299,1.067619743,NA,NA,NA,8.14,20.8,2.32,0.06,24,NA
54,SGPI_54,4/16/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,1217.46698,1.6400788,0.437360456,0.000619156,1.00E-05,1,0.001924256,1.020329073,0.001979197,1.04916258,NA,NA,NA,8.28,18.8,2.52,0.05,24,NA
55,SGPI_55,4/19/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,5143.02841,1.0682052,0.589315902,0.000143084,0.000887932,1.439559089,0.002902031,1.018973731,0.002014099,1.016869169,91.22466772,1.033888942,NA,8.08,21.9,1.88,0.28,70,9.43
56,SGPI_56,4/19/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,2540.94492,1.27050193,0.924501245,0.00058584,1.00E-05,1,0.001702613,1.020056703,0.001908642,1.151123313,8.049844719,1.008822741,NA,8.13,20.7,1.83,0.1,50.61,NA
57,SGPI_57,4/19/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,975.749966,1.32175849,0.394750487,0.000569184,1.00E-05,1,0.000185203,1.035326783,0.000208307,1.159118413,17.29739865,1.116571194,NA,7.9,18.7,0.48,0.33,289.38,NA
60,SGPI_60,4/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,900.237955,1.23598705,0.474319666,0.000706502,1.00E-05,1,0.000858191,1.017563059,0.00089286,1.027629483,48.89498952,1.020452084,NA,8.12,19.1,2.4,0.1,24,NA
63,SGPI_63,4/23/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,2514.30937,1.04777752,0.730033046,0.000397646,1.00E-05,1,0.004078702,1.075492202,0.004168667,1.046746289,299.1334819,1.040260514,NA,8.06,19.6,2.14,0.04,24,NA
64,SGPI_64,4/26/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,39766.0848,1.05676651,0.773039224,2.57E-05,0.006392519,1.518882126,0.00747064,1.039799507,0.001078121,1.107167511,15.79873413,3.932202251,NA,7.82,NA,1.25,0.15,70,9.43
65,SGPI_65,4/26/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,exclude,NA,3026.38974,1.2502573,0.64686225,0.000314928,1.00E-05,1,0.000848483,1.027491968,0.000841184,1.109919915,4.1,1,NA,7.72,NA,2.115,0.105,50.61,NA
66,SGPI_66,4/26/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,21399.4562,1.05418279,0.767435335,4.75E-05,0.002908118,1.501453305,0.003643559,1.040992526,0.000735441,1.081987332,130.3654862,1.033076589,NA,NA,NA,0.89,0.07,289.38,NA
69,SGPI_69,4/26/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,3419.71544,1.65069812,1.03189247,0.000647715,3.15E-05,1.496455806,0.000705504,1.094530142,0.000674019,1.020482115,1299.7,1,NA,8.12,19.1,2.4,0.1,24,NA
70,SGPI_70,2/3/16,DWDS_D,2016,site_D1,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,142.7194,1.11139957,0.375382723,0.003139063,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,19,NA,0.96,NA,NA
71,SGPI_71,2/3/16,DWDS_D,2016,site_D2,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,10,1,0.124920107,0.014930521,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,20.9,NA,1.38,NA,NA
72,SGPI_72,2/3/16,DWDS_D,2016,site_D3,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,122.367266,1.37472148,0.376050751,0.004540143,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,15.7,NA,0.96,NA,NA
73,SGPI_73,2/3/16,DWDS_D,2016,site_D4,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,144.808023,1.20721488,0.451351734,0.004103891,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,18.7,NA,1.43,NA,NA
